Carrillo,Breakfast,07:15:00,10:00:00,1
Carrillo,Breakfast,07:15:00,10:00:00,2
Carrillo,Breakfast,07:15:00,10:00:00,3
Carrillo,Breakfast,07:15:00,10:00:00,4
Carrillo,Breakfast,07:15:00,10:00:00,5
Carrillo,Lunch,11:00:00,14:30:00,1
Carrillo,Lunch,11:00:00,14:30:00,2
Carrillo,Lunch,11:00:00,14:30:00,3
Carrillo,Lunch,11:00:00,14:30:00,4
Carrillo,Lunch,11:00:00,14:30:00,5
Carrillo,Dinner,17:00:00,20:00:00,1
Carrillo,Dinner,17:00:00,20:00:00,2
Carrillo,Dinner,17:00:00,20:00:00,3
Carrillo,Dinner,17:00:00,20:00:00,4
Carrillo,Dinner,17:00:00,20:00:00,5
Carrillo,Brunch,10:30:00,14:00:00,6
Carrillo,Brunch,10:30:00,14:00:00,7
Carrillo,Dinner,17:00:00,20:00:00,6
Carrillo,Dinner,17:00:00,20:00:00,7
De La Guerra,Lunch,11:00:00,14:30:00,1
De La Guerra,Lunch,11:00:00,14:30:00,2
De La Guerra,Lunch,11:00:00,14:30:00,3
De La Guerra,Lunch,11:00:00,14:30:00,4
De La Guerra,Lunch,11:00:00,14:30:00,5
De La Guerra,Dinner,17:00:00,20:00:00,1
De La Guerra,Dinner,17:00:00,20:00:00,2
De La Guerra,Dinner,17:00:00,20:00:00,3
De La Guerra,Dinner,17:00:00,20:00:00,4
De La Guerra,Dinner,17:00:00,20:00:00,5
De La Guerra,Brunch,10:30:00,14:00:00,6
De La Guerra,Brunch,10:30:00,14:00:00,7
De La Guerra,Dinner,17:00:00,20:00:00,6
De La Guerra,Dinner,17:00:00,20:00:00,7
De La Guerra,Late Night,21:00:00,00:30:00,1
De La Guerra,Late Night,21:00:00,00:30:00,2
De La Guerra,Late Night,21:00:00,00:30:00,3
De La Guerra,Late Night,21:00:00,00:30:00,4
Ortega,Breakfast,07:15:00,10:45:00,1
Ortega,Breakfast,07:15:00,10:45:00,2
Ortega,Breakfast,07:15:00,10:45:00,3
Ortega,Breakfast,07:15:00,10:45:00,4
Ortega,Breakfast,07:15:00,10:45:00,5
Ortega,Lunch,11:45:00,14:30:00,1
Ortega,Lunch,11:45:00,14:30:00,2
Ortega,Lunch,11:45:00,14:30:00,3
Ortega,Lunch,11:45:00,14:30:00,4
Ortega,Lunch,11:45:00,14:30:00,5
Ortega,Dinner,17:00:00,20:00:00,1
Ortega,Dinner,17:00:00,20:00:00,2
Ortega,Dinner,17:00:00,20:00:00,3
Ortega,Dinner,17:00:00,20:00:00,4
Ortega,Dinner,17:00:00,20:00:00,5
Portolla,Breakfast,07:00:00,10:30:00,1
Portolla,Breakfast,07:00:00,10:30:00,2
Portolla,Breakfast,07:00:00,10:30:00,3
Portolla,Breakfast,07:00:00,10:30:00,4
Portolla,Breakfast,07:00:00,10:30:00,5
Portolla,Lunch,12:00:00,14:30:00,1
Portolla,Lunch,12:00:00,14:30:00,2
Portolla,Lunch,12:00:00,14:30:00,3
Portolla,Lunch,12:00:00,14:30:00,4
Portolla,Lunch,12:00:00,14:30:00,5
Portolla,Dinner,17:00:00,20:00:00,1
Portolla,Dinner,17:00:00,20:00:00,2
Portolla,Dinner,17:00:00,20:00:00,3
Portolla,Dinner,17:00:00,20:00:00,4
Portolla,Dinner,17:00:00,20:00:00,5
Portolla,Brunch,10:30:00,14:00:00,6
Portolla,Brunch,10:30:00,14:00:00,7
Portolla,Dinner,17:00:00,20:00:00,6
Portolla,Dinner,17:00:00,20:00:00,7
